"filename", "language", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"/Users/trieu.nhtvn/khoa4/src/redux/reducers/DrawerCyberbugsReducer.js", "JavaScript", 39, 0, 0, 0, 3, 42
"/Users/trieu.nhtvn/khoa4/src/redux/reducers/HistoryReducer.js", "JavaScript", 14, 0, 0, 0, 3, 17
"/Users/trieu.nhtvn/khoa4/src/redux/reducers/LoadingReducer.js", "JavaScript", 18, 0, 0, 0, 3, 21
"/Users/trieu.nhtvn/khoa4/src/redux/reducers/PriorityReducer.js", "JavaScript", 12, 0, 0, 0, 4, 16
"/Users/trieu.nhtvn/khoa4/src/redux/reducers/ProjectCategoryReducer.js", "JavaScript", 14, 0, 0, 0, 3, 17
"/Users/trieu.nhtvn/khoa4/src/redux/reducers/ProjectCyberbugsReducer.js", "JavaScript", 18, 0, 0, 0, 3, 21
"/Users/trieu.nhtvn/khoa4/src/redux/reducers/ProjectReducer.js", "JavaScript", 23, 0, 0, 0, 2, 25
"/Users/trieu.nhtvn/khoa4/src/redux/reducers/StatusReducer.js", "JavaScript", 12, 0, 0, 0, 2, 14
"/Users/trieu.nhtvn/khoa4/src/redux/reducers/TaskReducer.js", "JavaScript", 46, 0, 0, 0, 3, 49
"/Users/trieu.nhtvn/khoa4/src/redux/reducers/TaskTypeReducer.js", "JavaScript", 12, 0, 0, 0, 4, 16
"/Users/trieu.nhtvn/khoa4/src/redux/reducers/ToDoListReducers.js", "JavaScript", 14, 0, 0, 0, 3, 17
"/Users/trieu.nhtvn/khoa4/src/redux/reducers/UserCyberbugsReducer.js", "JavaScript", 29, 0, 0, 0, 4, 33
"/Users/trieu.nhtvn/khoa4/src/redux/sagas/Cyberbugs/PrioritySaga.js", "JavaScript", 20, 0, 0, 0, 3, 23
"/Users/trieu.nhtvn/khoa4/src/redux/sagas/Cyberbugs/ProjectCategorySaga.js", "JavaScript", 20, 0, 0, 0, 3, 23
"/Users/trieu.nhtvn/khoa4/src/redux/sagas/Cyberbugs/ProjectSaga.js", "JavaScript", 150, 0, 0, 0, 28, 178
"/Users/trieu.nhtvn/khoa4/src/redux/sagas/Cyberbugs/StatusSaga.js", "JavaScript", 21, 0, 0, 0, 4, 25
"/Users/trieu.nhtvn/khoa4/src/redux/sagas/Cyberbugs/TaskSaga.js", "JavaScript", 79, 0, 0, 2, 11, 92
"/Users/trieu.nhtvn/khoa4/src/redux/sagas/Cyberbugs/TaskTypeSaga.js", "JavaScript", 20, 0, 0, 0, 4, 24
"/Users/trieu.nhtvn/khoa4/src/redux/sagas/Cyberbugs/UserCyberbugsSaga.js", "JavaScript", 114, 0, 0, 0, 17, 131
"/Users/trieu.nhtvn/khoa4/src/redux/sagas/ToDoListSaga.js", "JavaScript", 69, 0, 0, 10, 12, 91
"/Users/trieu.nhtvn/khoa4/src/redux/sagas/rootSaga.js", "JavaScript", 34, 0, 0, 0, 8, 42
"/Users/trieu.nhtvn/khoa4/src/reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 2, 14
"/Users/trieu.nhtvn/khoa4/src/services/CyberbugsService.js", "JavaScript", 47, 0, 0, 0, 2, 49
"/Users/trieu.nhtvn/khoa4/src/services/PriorityService.js", "JavaScript", 7, 0, 0, 0, 2, 9
"/Users/trieu.nhtvn/khoa4/src/services/ProjectService.js", "JavaScript", 13, 0, 0, 0, 5, 18
"/Users/trieu.nhtvn/khoa4/src/services/StatusService.js", "JavaScript", 7, 0, 0, 0, 3, 10
"/Users/trieu.nhtvn/khoa4/src/services/TaskService.js", "JavaScript", 13, 0, 0, 0, 5, 18
"/Users/trieu.nhtvn/khoa4/src/services/TaskTypeService.js", "JavaScript", 7, 0, 0, 0, 3, 10
"/Users/trieu.nhtvn/khoa4/src/services/ToDoListService.js", "JavaScript", 36, 0, 0, 0, 7, 43
"/Users/trieu.nhtvn/khoa4/src/services/UserService.js", "JavaScript", 16, 0, 0, 0, 6, 22
"/Users/trieu.nhtvn/khoa4/src/services/baseService.js", "JavaScript", 34, 0, 0, 0, 5, 39
"/Users/trieu.nhtvn/khoa4/src/setupTests.js", "JavaScript", 1, 0, 0, 4, 1, 6
"/Users/trieu.nhtvn/khoa4/src/templates/HomeTemplate/CyberbugsTemplate.js", "JavaScript", 26, 0, 0, 0, 2, 28
"/Users/trieu.nhtvn/khoa4/src/templates/HomeTemplate/UserLoginTemplate.js", "JavaScript", 44, 0, 0, 0, 5, 49
"/Users/trieu.nhtvn/khoa4/src/utils/Notification/notificationCyberbugs.js", "JavaScript", 7, 0, 0, 0, 2, 9
"/Users/trieu.nhtvn/khoa4/src/utils/constants/systemSettings.js", "JavaScript", 9, 0, 0, 0, 3, 12
"Total", "-", 3761, 1, 911, 124, 612, 5409
